ordinal,serialized_path,parameter_group,owner_dataclass,field_name,type_annotation,json_type,value_shape,unit,required,default_kind,default_source,default_value_json,repeatable_entity_paths,repeatable_depth,accepted_by_parser,emitted_by_serializer,parser,parser_handling,serializer,serializer_handling,accepted_via_template_parser,accepted_template_source_path,template_alias_required,template_parser,template_parser_handling,template_parser_source_file,template_parser_source_line,contract_scope,runtime_consumer_trace,source_file,source_line
1,design.name,design_identity_and_assets,StimulusDesign,name,str,string,scalar,,false,literal_or_constant,'Study 5 PPS white/pink design',"""Study 5 PPS white/pink design""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,StimulusDesign keyword selected by design_from_dict,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,242
2,design.study_profile_id,design_identity_and_assets,StimulusDesign,study_profile_id,str,string,scalar,,false,literal_or_constant,'',"""""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,StimulusDesign keyword selected by design_from_dict,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),true,template_id,true,peripersonal_space_toolkit.templates.template_from_dict,design.study_profile_id = data['template_id'],src/peripersonal_space_toolkit/templates.py,149,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,243
3,design.study_profile_title,design_identity_and_assets,StimulusDesign,study_profile_title,str,string,scalar,,false,literal_or_constant,'',"""""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,StimulusDesign keyword selected by design_from_dict,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),true,title,true,peripersonal_space_toolkit.templates.template_from_dict,design.study_profile_title = data['title'],src/peripersonal_space_toolkit/templates.py,150,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,244
4,design.study_profile_notes,design_identity_and_assets,StimulusDesign,study_profile_notes,str,string,scalar,,false,literal_or_constant,'',"""""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,StimulusDesign keyword selected by design_from_dict,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),true,notes,false,peripersonal_space_toolkit.templates.template_from_dict,"design.study_profile_notes = data.get('notes', '')",src/peripersonal_space_toolkit/templates.py,151,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,245
5,design.study_profile_reference_parameters,design_identity_and_assets,StimulusDesign,study_profile_reference_parameters,"dict[str, Any]",object,object,,false,factory,field(default_factory=dict),{},,0,true,true,peripersonal_space_toolkit.design.design_from_dict,StimulusDesign keyword selected by design_from_dict,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),true,reference_parameters,false,peripersonal_space_toolkit.templates.template_from_dict,"design.study_profile_reference_parameters = dict(data.get('reference_parameters', {}))",src/peripersonal_space_toolkit/templates.py,152,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,246
6,design.sofa_file,design_identity_and_assets,StimulusDesign,sofa_file,str,string,scalar,,false,literal_or_constant,DEFAULT_SOFA_FILE,"""assets/0. Head-Related Impulse Response (HRIR) model/FABIAN_HRIR_measured_HATO_0.sofa""",,0,true,true,peripersonal_space_toolkit.design.design_from_dict,StimulusDesign keyword selected by design_from_dict,peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,247
7,design.noises[].label,generated_audio_sources,NoiseDefinition,label,str,string,scalar,,true,required,,,design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,126
8,design.noises[].noise_type,generated_audio_sources,NoiseDefinition,noise_type,str,string,scalar,,true,required,,,design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,127
9,design.noises[].azimuth_deg,generated_audio_sources,NoiseDefinition,azimuth_deg,float,number,scalar,degrees,false,literal_or_constant,0.0,0.0,design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,128
10,design.noises[].elevation_deg,generated_audio_sources,NoiseDefinition,elevation_deg,float,number,scalar,degrees,false,literal_or_constant,0.0,0.0,design.noises[],1,true,true,peripersonal_space_toolkit.design.design_from_dict,"NoiseDefinition(**item), followed by generated-source-profile normalization",peripersonal_space_toolkit.design.design_to_dict,dataclasses.asdict(StimulusDesign),false,,false,,,,,current parser/serializer input contract,not_traced_by_schema_exporter,src/peripersonal_space_toolkit/design.py,129
