node_id,title,year,doi,publication_url,authors,venue,corpus_theme,document_role,toolkit_status,toolkit_join_status,audit_record_ids,manual_review_record_ids,template_ids,pdf_statuses,supplement_statuses,network_prominence_rank,network_prominence,within_network_citations_received,within_network_references,publication_fields_reviewed,publication_fields_implementation_ready,publication_fields_reviewed_missing,publication_fields_requiring_review,publication_review_progress_pct,publication_implementation_evidence_pct,toolkit_parameter_actions,PUB.S1.stimulus_type,PUB.S1.source_provenance,PUB.S1.trajectory_count,PUB.S1.trajectory_path,PUB.S1.stimulus_duration,PUB.S1.stimulus_speed,PUB.S1.auditory_conditions,PUB.S1.gain_envelope,PUB.S1.renderer_or_apparatus,PUB.S2.trial_rows_families,PUB.S2.condition_intermixing,PUB.S2.blocked_or_random_order,PUB.S2.iti_jitter_policy,PUB.S2.response_window,PUB.S2.task_sequence_rules,PUB.S3.tactile_stimulus,PUB.S3.soa_table,PUB.S3.baseline_strategy,PUB.S3.baseline_timing,PUB.S3.catch_trial_type,PUB.S4.repetitions_per_tactile_soa_condition,PUB.S4.baseline_count,PUB.S4.catch_count,PUB.S4.block_count,PUB.S4.total_trial_count,KIT.S0.profile_identity,KIT.S0.publication_reference,KIT.S0.profile_parameter_provenance,KIT.S1.source_stimulus_inventory,KIT.S1.trajectory_snapshots,KIT.S1.stimulus_duration,KIT.S2.trial_sequence_rows,KIT.S2.jitter_values_ms,KIT.S2.iti_jitter_policy,KIT.S3.soa_values_ms,KIT.S3.tactile_sites,KIT.S3.baseline_mode,KIT.S3.baseline_count,KIT.S3.catch_mode,KIT.S4.trial_pool_repetitions,KIT.S5.block_count,KIT.S5.row_order_constraints,KIT.S6.participants,KIT.S6.experiment_parts,KIT.S0.profile_gap,KIT.S1.profile_gap,KIT.S2.profile_gap,KIT.S3.profile_gap,KIT.S4.profile_gap,KIT.S5.profile_gap,KIT.S6.profile_gap
doi:10.1162/089892902320474481,Auditory peripersonal space in humans.,2002,10.1162/089892902320474481,https://doi.org/10.1162/089892902320474481,Alessandro Farnè; Elisabetta Làdavas,Journal of cognitive neuroscience,animal_neurophysiology,empirical,supported_incomplete,doi_matched_manual_parameter_review,farne_ladavas_2002_auditory_pps_humans,farne_ladavas_2002_auditory_pps_humans,,paywalled,paywalled,1,0.84414194,26,1,24,22,2,0,1,0.9166666666666666,26,reported,reported,reported,reported,reported,not_applicable,reported,reported,reported,reported,reported,reported,not_reported_after_review,not_reported_after_review,reported,reported,reported,reported,reported,reported,reported,derived,derived,reported,derived,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile
doi:10.1371/journal.pone.0044306,Dynamic sounds capture the boundaries of peripersonal space representation in humans.,2012,10.1371/journal.pone.0044306,https://doi.org/10.1371/journal.pone.0044306,Elisa Canzoneri; Elisa Magosso; Andrea Serino,PloS one,action_tools,empirical_template,runnable,doi_matched_manual_parameter_review,canzoneri_2012_dynamic_sounds,canzoneri_2012_dynamic_sounds,canzoneri_2012_dynamic_sounds,downloaded,needs_user_download,2,0.790642163,60,11,25,24,1,0,1,0.96,3,reported,reported,reported,reported,reported,derived,reported,reported,reported,reported,reported,reported,reported,not_reported_after_review,reported,reported,reported,reported,reported,reported,reported,derived,reported,reported,derived,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,none,none,none,none,none,none,none
doi:10.1111/j.1467-9280.2007.01952.x,Extended multisensory space in blind cane users.,2007,10.1111/j.1467-9280.2007.01952.x,https://doi.org/10.1111/j.1467-9280.2007.01952.x,Andrea Serino; Michela Bassolino; Alessandro Farnè; Elisabetta Làdavas,Psychological science,action_tools,empirical,supported_incomplete,doi_matched_manual_parameter_review,serino_2007_blind_cane_users,serino_2007_blind_cane_users,serino_2007_blind_cane_users,paywalled,paywalled,3,0.778081043,42,1,22,20,2,0,1,0.9090909090909091,7,reported,reported,reported,reported,reported,not_applicable,reported,reported,reported,reported,reported,reported,not_reported_after_review,not_reported_after_review,reported,reported,reported,reported,not_applicable,reported,reported,not_applicable,reported,reported,derived,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,defaulted,encoded,encoded,encoded,encoded,encoded,defaulted,none,gap_missing,gap_missing,gap_missing,none,none,none
doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,Chiara Teneggi; Elisa Canzoneri; Giuseppe di Pellegrino; Andrea Serino,Current biology : CB,animal_neurophysiology,empirical,supported_incomplete,doi_matched_literature_audit,teneggi_2013_social_face,,teneggi_2013_social_face_pps,needs_user_download,not_found,4,0.723568925,43,4,0,0,0,25,0,0,5,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,encoded,encoded,inferred,encoded,encoded,encoded,defaulted,gap_missing,none,none,none,none,none,none
doi:10.1038/srep18603,Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,https://doi.org/10.1038/srep18603,Andrea Serino; Jean‐Paul Noel; Giulia Galli; Elisa Canzoneri; Patrick Marmaroli; Hervé Lissek; Olaf Blanke,Scientific reports,action_tools,empirical,runnable,doi_matched_manual_parameter_review,serino_2015_exps_4_to_6 | serino_2015_front_back_trunk_exp2 | serino_2015_peri_hand_exp3 | serino_2015_peri_trunk_exp1,serino_2015_exps_4_to_6 | serino_2015_front_back_trunk_exp2 | serino_2015_peri_hand_exp3 | serino_2015_peri_trunk_exp1,serino_2015_front_back_trunk_exp2 | serino_2015_peri_hand_exp3 | serino_2015_peri_trunk_exp1,downloaded,downloaded,5,0.678387035,33,8,16,15,1,9,0.64,0.6,4,mixed,mixed,mixed,reported,derived,reported,reported,mixed,reported,reported,mixed,mixed,reported,not_reported_after_review,reported,reported,mixed,reported,mixed,reported,reported,derived,derived,mixed,reported,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,encoded,encoded,inferred,encoded,encoded,encoded,defaulted,none,none,none,none,none,none,none
doi:10.1016/j.neuropsychologia.2009.11.009,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,Michela Bassolino; Andrea Serino; Silvia Ubaldi; Elisabetta Làdavas,Neuropsychologia,action_tools,empirical,supported_incomplete,doi_matched_literature_audit,bassolino_2010_mouse_use,,,paywalled,not_found,6,0.673460994,31,4,0,0,0,25,0,0,26,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile
doi:10.1007/s00221-013-3532-2,Tool-use reshapes the boundaries of body and peripersonal space representations.,2013,10.1007/s00221-013-3532-2,https://doi.org/10.1007/s00221-013-3532-2,Elisa Canzoneri; Silvia Ubaldi; Valentina Rastelli; Alessandra Finisguerra; Michela Bassolino; Andrea Serino,Experimental brain research,action_tools,empirical,supported_incomplete,doi_matched_literature_audit,canzoneri_2013_tool_use_reshaping,,canzoneri_2013_tool_use_reshaping,needs_user_download,needs_user_download,7,0.649159465,28,5,0,0,0,25,0,0,8,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,encoded,encoded,inferred,encoded,encoded,encoded,defaulted,gap_defaulted,none,gap_missing,none,none,gap_defaulted,gap_defaulted
doi:10.1016/j.neuropsychologia.2014.08.030,Full body action remapping of peripersonal space: the case of walking.,2015,10.1016/j.neuropsychologia.2014.08.030,https://doi.org/10.1016/j.neuropsychologia.2014.08.030,Jean‐Paul Noel; Petr Grivaz; Patrick Marmaroli; Hervé Lissek; Olaf Blanke; Andrea Serino,Neuropsychologia,animal_neurophysiology,empirical,runnable,doi_matched_manual_parameter_review,noel_2015_walking,noel_2015_walking,noel_2015_walking_full_body_action,public_pdf_reviewed,not_found,8,0.63939811,30,11,25,25,0,0,1,1,3,reported,reported_with_caveat,reported,reported,reported,reported,reported,reported_with_caveat,reported,reported,reported,reported,reported,reported_with_caveat,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported_with_toolkit_distribution,reported,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,none,none,none,none,none,none,none
doi:10.1162/jocn_a_00006,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study.,2011,10.1162/jocn_a_00006,https://doi.org/10.1162/jocn_a_00006,Andrea Serino; Elisa Canzoneri; Alessio Avenanti,Journal of cognitive neuroscience,animal_neurophysiology,empirical,supported_incomplete,doi_matched_literature_audit,serino_2011_rtms,,,paywalled,paywalled,9,0.623738574,24,8,0,0,0,25,0,0,26,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile,no_profile
doi:10.1016/j.cognition.2015.07.012,Peripersonal space as the space of the bodily self.,2015,10.1016/j.cognition.2015.07.012,https://doi.org/10.1016/j.cognition.2015.07.012,Jean‐Paul Noel; Christian Pfeiffer; Olaf Blanke; Andrea Serino,Cognition,neuropsychology_neglect,empirical,runnable,doi_matched_manual_parameter_review,noel_2015_bodily_self,noel_2015_bodily_self,noel_2015_bodily_self | noel_2015_bodily_self_back_space,downloaded,not_found,10,0.601624917,24,9,25,21,4,0,1,0.84,4,not_reported_after_review,not_reported_after_review,reported,reported,derived,reported,reported,not_reported_after_review,reported,reported,reported,reported,reported,not_reported_after_review,reported,reported,reported,reported,reported,reported,reported,reported,reported,reported,derived,encoded,encoded,encoded,encoded,encoded,encoded,encoded,defaulted,defaulted,encoded,encoded,encoded,encoded,encoded,inferred,encoded,encoded,encoded,defaulted,none,none,none,none,none,none,none
