path,category,sample_rate_hz,channels,duration_s,peak,peak_dbfs,rms,rms_dbfs,first_500ms_rms_dbfs,last_500ms_rms_dbfs,per_channel_rms_dbfs,notes
assets/breathing/british_kokoro/Exhale-2-3-4-hold_FIXED.wav,breathing_instruction,44100,1,4.0,0.899993896,-0.915,0.099638722,-20.031,-20.227,-31.475,-20.031,
assets/breathing/british_kokoro/FinishMessage.wav,breathing_instruction,44100,1,4.0,0.900024414,-0.915,0.152331618,-16.344,-15.902,-20.690,-16.344,
assets/breathing/british_kokoro/General_Instructions.wav,breathing_instruction,44100,1,4.0,0.899993896,-0.915,0.133883407,-17.465,-13.457,-21.124,-17.465,
assets/breathing/british_kokoro/Inhale-2-3-4-hold_FIXED.wav,breathing_instruction,44100,1,4.0,0.900024414,-0.915,0.167920994,-15.498,-14.055,-27.263,-15.498,
assets/breathing/british_kokoro/InterimMessage.wav,breathing_instruction,44100,1,4.0,0.899993896,-0.915,0.135230315,-17.379,-15.453,-21.316,-17.379,
assets/breathing/british_kokoro/Post-Block_Instruction.wav,breathing_instruction,44100,1,4.0,0.899993896,-0.915,0.128705143,-17.808,-15.335,-22.964,-17.808,
assets/breathing/british_kokoro/Pre-Block_Instruction.wav,breathing_instruction,44100,1,4.0,0.900024414,-0.915,0.147795631,-16.607,-15.040,-24.388,-16.607,
assets/breathing/Exhale-2-3-4-hold_FIXED.wav,breathing_instruction,44100,1,4.0,0.899993896,-0.915,0.099638722,-20.031,-20.227,-31.475,-20.031,
assets/breathing/FinishMessage.wav,breathing_instruction,44100,1,4.0,0.900024414,-0.915,0.152331618,-16.344,-15.902,-20.690,-16.344,
assets/breathing/General_Instructions.wav,breathing_instruction,44100,1,4.0,0.899993896,-0.915,0.133883407,-17.465,-13.457,-21.124,-17.465,
assets/breathing/Inhale-2-3-4-hold_FIXED.wav,breathing_instruction,44100,1,4.0,0.900024414,-0.915,0.167920994,-15.498,-14.055,-27.263,-15.498,
assets/breathing/InterimMessage.wav,breathing_instruction,44100,1,4.0,0.899993896,-0.915,0.135230315,-17.379,-15.453,-21.316,-17.379,
assets/breathing/original_study5/Exhale-2-3-4-hold_FIXED.wav,breathing_instruction,44100,2,4.0,0.916870117,-0.754,0.169715491,-15.406,-12.854,-15.285,-15.409;-15.402,
assets/breathing/original_study5/FinishMessage.wav,breathing_instruction,44100,1,7.000816,0.915588379,-0.766,0.178905718,-14.948,-10.501,-32.045,-14.948,
assets/breathing/original_study5/General_Instructions.wav,breathing_instruction,44100,1,85.707755,0.911376953,-0.806,0.171733578,-15.303,-10.459,-19.808,-15.303,
assets/breathing/original_study5/Inhale-2-3-4-hold_FIXED.wav,breathing_instruction,44100,1,4.0,0.876159668,-1.148,0.140115385,-17.070,-12.832,-14.265,-17.070,
assets/breathing/original_study5/InterimMessage.wav,breathing_instruction,44100,1,10.109388,0.897277832,-0.941,0.214150917,-13.386,-7.409,-26.094,-13.386,
assets/breathing/original_study5/Post-Block_Instruction.wav,breathing_instruction,44100,1,8.829388,0.899932861,-0.916,0.194203378,-14.235,-8.613,-16.646,-14.235,
assets/breathing/original_study5/Pre-Block_Instruction.wav,breathing_instruction,44100,1,8.418073,0.886657715,-1.045,0.200704099,-13.949,-11.464,-22.333,-13.949,
assets/breathing/Post-Block_Instruction.wav,breathing_instruction,44100,1,4.0,0.899993896,-0.915,0.128705143,-17.808,-15.335,-22.964,-17.808,
assets/breathing/Pre-Block_Instruction.wav,breathing_instruction,44100,1,4.0,0.900024414,-0.915,0.147795631,-16.607,-15.040,-24.388,-16.607,
assets/preloads/study5_box_breathing_pps/02_looming_stimuli/looming_Pink_frontal.wav,study5_looming,44100,2,4.0,0.900024414,-0.915,0.096563925,-20.304,-33.999,-13.229,-20.547;-20.074,
assets/preloads/study5_box_breathing_pps/02_looming_stimuli/looming_White_frontal.wav,study5_looming,44100,2,4.0,0.899993896,-0.915,0.095387512,-20.410,-34.242,-13.285,-20.290;-20.534,
