Trial_Number,Trial_Type,SOA_ms,Noise_Type,Respiratory_Phase
1,Audio-Tactile,300,Pink,Inhale
2,Audio-Tactile,300,Blue,Exhale
3,Audio-Tactile,300,White,Inhale
4,Audio-Tactile,300,Brown,Exhale
5,Audio-Tactile,800,Pink,Inhale
6,Audio-Tactile,800,Blue,Exhale
7,Audio-Tactile,800,White,Inhale
8,Audio-Tactile,800,Brown,Exhale
9,Audio-Tactile,1500,Pink,Inhale
10,Audio-Tactile,1500,Blue,Exhale
11,Audio-Tactile,1500,White,Inhale
12,Audio-Tactile,1500,Brown,Exhale
13,Audio-Tactile,2200,Pink,Inhale
14,Audio-Tactile,2200,Blue,Exhale
15,Audio-Tactile,2200,White,Inhale
16,Audio-Tactile,2200,Brown,Exhale
17,Audio-Tactile,2700,Pink,Inhale
18,Audio-Tactile,2700,Blue,Exhale
19,Audio-Tactile,2700,White,Inhale
20,Audio-Tactile,2700,Brown,Exhale
21,Baseline,300,N/A,Inhale
22,Baseline,300,N/A,Exhale
23,Baseline,800,N/A,Inhale
24,Baseline,800,N/A,Exhale
25,Baseline,1500,N/A,Inhale
26,Baseline,1500,N/A,Exhale
27,Baseline,2200,N/A,Inhale
28,Baseline,2200,N/A,Exhale
29,Baseline,2700,N/A,Inhale
30,Baseline,2700,N/A,Exhale
31,Catch,800,Pink,Inhale
32,Catch,1500,Brown,Exhale
33,Catch,2200,White,Inhale
34,Catch,2700,Blue,Exhale
